designation,is_welded,is_angle,h,b,tw,tf,r,d,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,IW,Sw_w,Av_y,Av_z,iy,iz,ys,ym
UPN 220,0,0,220.0,80.0,9.0,12.5,12.5,167.0,0.00374,2.69e-05,0.000245,0.000292,1.97e-06,3.3600000000000004e-05,6.41e-05,1.6e-07,1.46e-08,2.3608474999999994e-06,0.0019449369260617,0.002062,84.80000000000001,23.0,21.4,42.0
UPN 240,0,0,240.0,85.0,9.5,13.0,13.0,184.0,0.0042299999999999,3.6e-05,0.0003,0.000358,2.48e-06,3.96e-05,7.57e-05,1.97e-07,2.2100000000000006e-08,3.0664062e-06,0.0021624645792283,0.002371,92.2,24.2,22.3,43.9
UPN 260,0,0,260.0,90.0,10.0,14.0,14.0,200.0,0.00483,4.82e-05,0.000371,0.000442,3.17e-06,4.77e-05,9.16e-05,2.55e-07,3.33e-08,4.0121536000000006e-06,0.0024658760800517,0.002712,99.9,25.6,23.6,46.6
UPN 280,0,0,280.0,95.0,10.0,15.0,15.0,216.0,0.00533,6.28e-05,0.000448,0.000532,3.99e-06,5.72e-05,0.000109,3.1e-07,4.85e-08,5.1009945e-06,0.0027734291735288,0.002928,109.0,27.4,25.3,50.2
UPN 300,0,0,300.0,100.0,10.0,16.0,16.0,232.0,0.00588,8.03e-05,0.000535,0.000632,4.95e-06,6.78e-05,0.00013,3.74e-07,6.909999999999999e-08,6.3948e-06,0.0031301238596594,0.003177,117.0,29.0,27.0,54.1
UPN 320,0,0,320.0,100.0,14.0,17.5,17.5,246.0,0.00758,0.0001087,0.000679,0.000826,5.97e-06,8.06e-05,0.000152,6.67e-07,9.61e-08,7.666400000000002e-06,0.0035145563750809,0.004711,121.0,28.1,26.0,48.2
UPN 350,0,0,350.0,100.0,14.0,16.0,16.0,282.0,0.00773,0.0001284,0.000734,0.000918,5.7e-06,7.5e-05,0.000143,6.12e-07,1.14e-07,8.086400000000001e-06,0.0032241238596594,0.005084,129.0,27.200000000000003,24.0,44.5
UPN 380,0,0,380.0,102.0,13.5,16.0,16.0,313.0,0.00804,0.0001576,0.000829,0.001014,6.15e-06,7.87e-05,0.000148,5.91e-07,1.46e-07,9.2951648e-06,0.0032726238596594,0.005323,140.0,27.7,23.8,45.8
UPN 400,0,0,400.0,110.0,14.0,18.0,18.0,324.0,0.00915,0.0002035,0.00102,0.00124,8.46e-06,0.000102,0.00019,8.159999999999999e-07,2.21e-07,1.2550049999999997e-05,0.0039709380098815,0.005855,149.0,30.4,26.5,51.1
U 40 x 20,0,0,40.0,20.0,5.0,5.5,5.0,19.0,0.000366,7.620000000000002e-08,3.81e-06,4.91e-06,1.15e-08,8.6e-07,1.65e-06,3.9e-09,3e-12,9.72895e-09,0.0002102699081698,0.000196,14.4,5.6000000000000005,6.7,10.3
U 50 x 25,0,0,50.0,25.0,5.0,6.0,6.0,26.0,0.000492,1.69e-07,6.76e-06,8.52e-06,2.5e-08,1.48e-06,2.84e-06,5.9e-09,9e-12,2.142075e-08,0.0002865486677646,0.000252,18.5,7.1,8.1,13.6
U 60 x 30,0,0,60.0,30.0,6.0,6.0,6.0,36.0,0.000646,3.17e-07,1.056e-05,1.33e-05,4.53e-08,2.16e-06,4.1900000000000005e-06,8.9e-09,2.4e-11,3.9689999999999993e-08,0.0003425486677646,0.000354,22.1,8.399999999999999,9.0,15.2
U 65 x 42,0,0,65.0,42.0,5.5,7.5,7.5,34.0,0.0009029999999999,5.77e-07,1.777e-05,2.17e-05,1.41e-07,5.06e-06,9.38e-06,1.6100000000000002e-08,8.2e-11,9.623371875000001e-08,0.0006093572933822,0.000368,25.3,12.5,13.9,25.8
CH 76 x 38 x 7,0,0,76.2,38.1,5.1,6.8,12.0,38.2,0.0008619999999999,7.51e-07,1.971e-05,2.37e-05,1.01e-07,3.78e-06,7.5e-06,1.6399999999999998e-08,9e-11,9.373643940000001e-08,0.0004829746710584,0.000434,29.5,10.8,11.2,20.7
CH 102 x 51 x 10,0,0,101.6,50.8,6.1,7.6,12.0,61.2,0.001316,2.06e-06,4.051e-05,4.8700000000000005e-05,2.77e-07,7.64e-06,1.49e-05,2.89e-08,4.4e-10,2.585886624e-07,0.0007344746710584,0.000662,39.5,14.499999999999998,14.2,27.1
CH 127 x 64 x 15,0,0,127.0,63.5,6.4,9.2,13.0,80.5,0.0018789999999999,4.77e-06,7.509e-05,8.91e-05,6.47e-07,1.45e-05,2.77e-05,5.21e-08,1.58e-09,5.994154889999999e-07,0.0011248645792283,0.000873,50.4,18.6,18.2,35.7
