designation,h,b,t,A,Iy,Wel_y,Wpl_y,Iz,Wel_z,Wpl_z,It,Av_y,Av_z
Tre 80 x 40 x 5,80.0,40.0,5.0,0.001036,7.51e-07,1.878e-05,2.473e-05,2.459e-07,1.229e-05,1.5019999999999998e-05,6.5e-07,0.0003453333333333334,0.0006906666666666668
Tre 80 x 50 x 3,80.0,50.0,3.0,0.0007210000000000001,6.110000000000001e-07,1.53e-05,1.88e-05,2.94e-07,1.18e-05,1.3599999999999999e-05,6.5e-07,0.00027730769230769237,0.00044369230769230776
Tre 80 x 50 x 4,80.0,50.0,4.0,0.000935,7.640000000000001e-07,1.91e-05,2.4e-05,3.65e-07,1.4599999999999999e-05,1.7199999999999998e-05,8.270000000000001e-07,0.0003596153846153846,0.0005753846153846153
Tre 80 x 50 x 5,80.0,50.0,5.0,0.0011400000000000002,8.920000000000001e-07,2.23e-05,2.8499999999999998e-05,4.2299999999999996e-07,1.6899999999999997e-05,2.05e-05,9.84e-07,0.00043846153846153856,0.0007015384615384617
Tre 80 x 60 x 2,80.0,60.0,2.0,0.000534,4.953e-07,1.238e-05,1.473e-05,3.187e-07,1.0619999999999998e-05,1.211e-05,6.12e-07,0.00022885714285714284,0.0003051428571428571
Tre 80 x 60 x 3,80.0,60.0,3.0,0.000781,7.005e-07,1.751e-05,2.116e-05,4.489e-07,1.496e-05,1.737e-05,8.83e-07,0.0003347142857142857,0.0004462857142857143
Tre 80 x 60 x 4,80.0,60.0,4.0,0.001015,8.792e-07,2.198e-05,2.6989999999999997e-05,5.611e-07,1.8699999999999997e-05,2.212e-05,1.131e-06,0.000435,0.0005800000000000001
Tre 80 x 60 x 6,80.0,60.0,6.0,0.00144,1.1600000000000001e-06,2.91e-05,3.6899999999999996e-05,7.359999999999999e-07,2.45e-05,3.02e-05,1.56e-06,0.0006171428571428572,0.000822857142857143
Tre 90 x 50 x 3,90.0,50.0,3.0,0.000781,8.185e-07,1.819e-05,2.26e-05,3.2740000000000003e-07,1.3099999999999998e-05,1.5029999999999998e-05,7.67e-07,0.00027892857142857146,0.0005020714285714287
Tre 90 x 50 x 4,90.0,50.0,4.0,0.001015,1.0270999999999999e-06,2.282e-05,2.882e-05,4.0710000000000004e-07,1.628e-05,1.909e-05,9.770000000000001e-07,0.00036250000000000003,0.0006525
Tre 90 x 50 x 5,90.0,50.0,5.0,0.001236,1.206e-06,2.68e-05,3.441e-05,4.7369999999999996e-07,1.895e-05,2.27e-05,1.165e-06,0.0004414285714285714,0.0007945714285714286
Tre 100 x 40 x 2,100.0,40.0,2.0,0.000534,6.540000000000001e-07,1.3099999999999998e-05,1.6499999999999998e-05,1.56e-07,7.81e-06,8.69e-06,4.15e-07,0.00015257142857142856,0.0003814285714285714
Tre 100 x 40 x 3,100.0,40.0,3.0,0.000781,9.234e-07,1.8469999999999998e-05,2.3749999999999998e-05,2.1670000000000003e-07,1.084e-05,1.238e-05,5.9e-07,0.00022314285714285714,0.0005578571428571429
Tre 100 x 40 x 4,100.0,40.0,4.0,0.001015,1.1569e-06,2.314e-05,3.026e-05,2.6690000000000004e-07,1.334e-05,1.565e-05,7.450000000000001e-07,0.00029000000000000006,0.0007250000000000001
Tre 100 x 40 x 5,100.0,40.0,5.0,0.001236,1.356e-06,2.712e-05,3.609e-05,3.0760000000000003e-07,1.538e-05,1.852e-05,8.790000000000001e-07,0.00035314285714285715,0.0008828571428571428
Tre 100 x 50 x 2,100.0,50.0,2.0,0.0005740000000000001,7.5e-07,1.4999999999999999e-05,1.85e-05,2.57e-07,1.03e-05,1.15e-05,6.16e-07,0.00019133333333333337,0.00038266666666666673
Tre 100 x 50 x 2.5,100.0,50.0,2.5,0.000709,9.12e-07,1.8239999999999998e-05,2.267e-05,3.106e-07,1.242e-05,1.401e-05,7.540000000000001e-07,0.00023633333333333335,0.0004726666666666667
